language,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
EN,285,3.913540260908682,1.2448248060538218,3.833918128654971,3.892397660818713,3.7321637426900587,3.6070175438596492,3.898245614035088,3.8853801169590643,3.719298245614035,3.7578947368421054,4.698245614035088,3.8865497076023394,4.673684210526316,2.2923976608187138,2.4163742690058476
EN_LITERAL,180,3.5952991452991454,1.2531809529275917,3.5055555555555555,3.4722222222222223,3.362962962962963,3.3351851851851855,3.65,3.5814814814814815,3.348148148148148,3.3555555555555556,4.616666666666666,3.587037037037037,4.340740740740741,2.687037037037037,2.7296296296296294
ES,282,3.923349699945445,1.3239158562786804,3.8888888888888893,3.9379432624113475,3.7872340425531914,3.652482269503546,3.9225768321513006,3.893617021276596,3.75531914893617,3.797872340425532,4.667848699763593,3.8817966903073287,4.472813238770685,2.269503546099291,2.3853427895981087
ES_LITERAL,180,3.671082621082621,1.3630476035688561,3.6240740740740742,3.6240740740740742,3.487037037037037,3.42962962962963,3.661111111111111,3.6351851851851853,3.4574074074074077,3.4555555555555557,4.709259259259259,3.6240740740740742,4.157407407407407,2.5203703703703706,2.6203703703703707
ZH,456,3.8238866396761133,1.286191177411598,3.7850877192982457,3.8326023391812867,3.6447368421052633,3.496345029239766,3.8362573099415203,3.8011695906432745,3.5994152046783623,3.6666666666666665,4.703216374269005,3.814327485380117,4.417397660818713,2.3720760233918132,2.5146198830409356
ZH_PINYIN,180,3.3280626780626785,1.253372685562157,3.2462962962962965,3.2759259259259257,3.0851851851851855,3.0555555555555554,3.362962962962963,3.2907407407407407,3.1333333333333333,3.159259259259259,4.568518518518519,3.3574074074074076,3.6870370370370367,2.92037037037037,3.0370370370370368
