generator_model_key,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
azure_gpt_5_5_instant,195,4.828139381985536,0.20599167917726008,4.823931623931624,4.8,4.791452991452991,4.702564102564103,4.87008547008547,4.907692307692308,4.818803418803419,4.892307692307693,4.805128205128205,4.924786324786325,4.9282051282051285,1.2324786324786325,1.2666666666666666
gemini_3_1_pro_preview,456,1.84036212325686,0.4323062160219802,1.6366959064327486,2.311769005847953,1.3062865497076022,1.1191520467836258,1.4689327485380117,1.404970760233918,1.2887426900584795,1.2828947368421053,4.1154970760233915,1.4312865497076022,3.6410818713450293,4.2331871345029235,4.849415204678363
grok_4_20_non_reasoning,456,4.566239316239317,0.36452028259800895,4.569444444444444,4.288011695906433,4.510964912280702,4.458333333333333,4.74780701754386,4.718567251461988,4.532894736842105,4.557748538011697,4.902777777777778,4.726608187134503,4.6703216374269,1.7236842105263157,1.5986842105263157
qwen3_next_80b_instruct,456,4.406882591093118,0.4505952041227509,4.413011695906433,4.142543859649122,4.375,4.297514619883041,4.612573099415205,4.562865497076023,4.287280701754386,4.366959064327485,4.937865497076023,4.551900584795321,4.495614035087719,1.932748538011696,1.820906432748538
