framework,mode,n,variable_recovery_rate_mean,variable_recovery_rate_sd,subtask_completion_rate_mean,subtask_completion_rate_sd,plan_continuity_rate_mean,plan_continuity_rate_sd,constraint_retention_rate_mean,constraint_retention_rate_sd,handoff_success_mean,handoff_success_sd,state_error_count_mean,state_error_count_sd
langgraph,compressed,60,0.7841666666666666,0.366672123739566,0.2,0.3647613568590115,0.38333333333333336,0.41799224170347204,0.6083333333333333,0.47915591980087857,0.03333333333333333,0.18102033471939252,15.883333333333333,35.2276334458063
langgraph,hybrid_state,60,0.625,0.4614365924084904,0.04583333333333333,0.2032139364187463,0.1625,0.28680368883995094,0.6166666666666667,0.48158166903942917,0.016666666666666666,0.12909944487358055,16.216666666666665,35.11197181833785
langgraph,natural,60,0.6083333333333333,0.4251785932501683,0.20916666666666667,0.38680478002877283,0.24583333333333332,0.3638648085073033,0.525,0.4820946527781533,0.05,0.21978417765108277,25.466666666666665,42.82422356907111
openfang,compressed,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
openfang,hybrid_state,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
openfang,natural,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
