generator_model_key,n,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,utility_mean,utility_sd,utility_ci95_low,utility_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,handoff_quality_mean,handoff_quality_sd,handoff_quality_ci95_low,handoff_quality_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,token_efficiency_mean,token_efficiency_sd,token_efficiency_ci95_low,token_efficiency_ci95_high
azure_gpt_5_5_instant,513,4.4815,1.2023,4.3774,4.5855,4.4269,1.2449,4.3192,4.5346,4.4133,1.272,4.3032,4.5233,4.4542,1.2352,4.3473,4.5611,4.4327,1.2086,4.3282,4.5373,4.7115,0.6978,4.6511,4.7719,1.3801,0.9811,1.2952,1.465,1.6199,1.2708,1.5099,1.7299,4.518,0.9923,4.4322,4.6039,14.4606,4.5373,14.068,14.8533
azure_grok_4_3,144,3.9722,1.2287,3.7715,4.1729,3.4514,1.1816,3.2584,3.6444,3.5764,1.3922,3.349,3.8038,3.5069,1.1647,3.3167,3.6972,3.4306,1.2828,3.221,3.6401,4.9931,0.0833,4.9794,5.0067,2.4167,1.1856,2.223,2.6103,2.9861,1.3842,2.76,3.2122,3.5546,0.9908,3.3928,3.7164,2.6839,1.9591,2.364,3.0039
gemini_3_1_pro_preview,632,3.4256,1.7346,3.2904,3.5609,3.2563,1.8088,3.1153,3.3974,3.3133,1.7945,3.1734,3.4532,3.288,1.8075,3.1471,3.4289,3.2199,1.7982,3.0797,3.3601,4.2753,1.2463,4.1781,4.3725,2.5427,1.6884,2.4111,2.6744,2.8402,1.8002,2.6998,2.9805,3.416,1.6194,3.2897,3.5423,3.3429,1.5183,3.2246,3.4613
glm_5,440,4.5091,0.985,4.417,4.6011,4.4091,1.0504,4.3109,4.5072,4.4659,1.0473,4.3681,4.5638,4.4727,1.0321,4.3763,4.5692,4.3955,1.0664,4.2958,4.4951,4.8841,0.5164,4.8358,4.9323,1.5023,0.9081,1.4174,1.5871,1.7114,1.1577,1.6032,1.8195,4.4681,0.8749,4.3863,4.5498,19.6854,5.2443,19.1953,20.1754
grok_4_20_non_reasoning,776,4.5387,1.0317,4.4661,4.6112,4.4807,1.0929,4.4038,4.5576,4.5863,0.9559,4.5191,4.6536,4.5657,1.0151,4.4943,4.6371,4.5258,1.0506,4.4519,4.5997,4.8518,0.46,4.8194,4.8842,1.4497,0.9955,1.3797,1.5198,1.5541,1.1174,1.4755,1.6327,4.5486,0.9302,4.4831,4.614,7.9716,1.8051,7.8446,8.0986
grok_4_20_reasoning,144,4.5486,1.0828,4.3718,4.7255,4.4444,1.1391,4.2584,4.6305,4.5833,1.0611,4.41,4.7566,4.5625,1.0821,4.3858,4.7392,4.5833,1.0676,4.409,4.7577,4.9236,0.2665,4.8801,4.9671,1.1806,0.6105,1.0808,1.2803,1.4722,1.134,1.287,1.6574,4.6531,0.7724,4.5269,4.7792,2.3348,1.2052,2.1379,2.5316
llama_4_maverick,360,3.8889,1.2684,3.7579,4.0199,3.7306,1.3711,3.5889,3.8722,3.8528,1.3592,3.7124,3.9932,3.8611,1.3174,3.725,3.9972,3.7417,1.3934,3.5977,3.8856,4.7472,0.5733,4.688,4.8064,2.1,1.2382,1.9721,2.2279,2.4194,1.4547,2.2692,2.5697,3.8742,1.1587,3.7545,3.9939,16.9296,5.8308,16.3273,17.5319
qwen3_next_80b_instruct,632,4.4984,0.967,4.423,4.5738,4.4367,1.0544,4.3545,4.5189,4.5269,0.9332,4.4541,4.5997,4.5285,0.9715,4.4527,4.6042,4.443,1.0242,4.3632,4.5229,4.9256,0.3594,4.8976,4.9537,1.4509,0.8561,1.3842,1.5177,1.6535,1.1083,1.5671,1.7399,4.4983,0.8507,4.4319,4.5646,19.3922,5.5346,18.9607,19.8237
