phase,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
exp06_a_hybrid_state_causal_handoff,843,3.925479818718253,1.2761613582679663,3.874258600237248,3.9436536180308424,3.7663107947805456,3.616844602609727,3.9132068011071572,3.898378805852116,3.7370502174772637,3.7908264136022143,4.699881376037959,3.8987742190589163,4.556346381969158,2.2589956504547253,2.405298536971135
exp06_b_zh_tokenizer_ablation,720,3.5600783475783473,1.2988941305316928,3.495833333333333,3.486111111111111,3.3430555555555554,3.2930555555555556,3.595833333333333,3.5328703703703703,3.3319444444444444,3.3513888888888888,4.6375,3.5518518518518523,4.111111111111111,2.6856481481481485,2.763888888888889
