model_key,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
azure_gpt_5_4_high,1563,3.6022766471196963,1.247346862155605,3.6335682254964765,3.5080076873798847,3.3657911595131327,3.2953235105701473,3.5816784112748237,3.6143497757847536,3.4003843689942346,3.3978219090326713,4.782831518257527,3.5803971812940425,4.307495195387572,2.718129404228059,2.919923126201153
gemini_3_5_flash,1563,3.943599586593829,1.4992007894956467,3.8394113883557264,4.024312220089572,3.787587971849008,3.7882277671145235,3.850927703134997,3.8266154830454253,3.8266154830454253,3.802303262955854,4.487523992322457,3.8803582853486884,4.449136276391554,2.0978886756238,2.198336532309661
grok_4_20_reasoning,1563,3.728283872237807,1.2861787306699404,3.6301983365323096,3.6679462571976966,3.563659628918746,3.322456813819578,3.871401151631478,3.7523992322456814,3.4273832373640434,3.568138195777351,4.744081893793986,3.7594369801663468,4.299424184261037,2.548304542546385,2.5905310300703777
