language,n_pairs,mean_delta,sd_delta,ci95_low,ci95_high,cohen_dz
EN,141,-0.1971267503182397,0.36448072442354623,-0.25728858620218087,-0.13696491443429853,-0.5408427307918973
EN_LITERAL,90,-0.23732193732193738,0.5754927833315852,-0.35621997818002016,-0.11842389646385462,-0.4123803880703021
ES,141,-0.2104018912529551,0.3724355693478466,-0.2718767679721143,-0.14892701453379592,-0.5649350077420892
ES_LITERAL,90,-0.27207977207977213,0.46510505232299637,-0.3681714714304793,-0.17598807272906497,-0.584985630065407
ZH,222,-0.22268422268422267,0.39738603420113244,-0.27495899913409183,-0.1704094462343535,-0.5603725433680278
ZH_PINYIN,90,-0.08860398860398866,0.5381549814148491,-0.19978795966584043,0.022579982457863107,-0.1646439997099762
