phase,mode,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
exp06_a_hybrid_state_causal_handoff,compressed,417,4.017278484904384,1.287675745034447,3.949640287769784,4.241806554756195,3.841726618705036,3.689848121502798,3.875699440447642,3.9344524380495605,3.7841726618705036,3.874500399680256,4.7474020783373305,3.938449240607514,4.730615507593925,2.0447641886490806,2.3389288569144684
exp06_a_hybrid_state_causal_handoff,hybrid_state,426,3.8356205609726737,1.2598261259797046,3.800469483568075,3.651799687010955,3.692488262910798,3.5453834115805947,3.9499217527386543,3.863067292644758,3.6909233176838807,3.708920187793427,4.653364632237872,3.859937402190923,4.385758998435055,2.468701095461659,2.4702660406885757
exp06_b_zh_tokenizer_ablation,compressed,360,3.6665242165242167,1.3317789592059133,3.5833333333333335,3.7925925925925923,3.4740740740740743,3.3648148148148147,3.557407407407408,3.561111111111111,3.362037037037037,3.45462962962963,4.655555555555556,3.6194444444444445,4.367592592592592,2.446296296296296,2.6814814814814816
exp06_b_zh_tokenizer_ablation,hybrid_state,360,3.453632478632479,1.2580109990992916,3.408333333333333,3.17962962962963,3.212037037037037,3.2212962962962965,3.634259259259259,3.5046296296296298,3.3018518518518523,3.248148148148148,4.6194444444444445,3.484259259259259,3.85462962962963,2.925,2.8462962962962965
