framework,n,variable_recovery_rate_mean,variable_recovery_rate_sd,subtask_completion_rate_mean,subtask_completion_rate_sd,plan_continuity_rate_mean,plan_continuity_rate_sd,constraint_retention_rate_mean,constraint_retention_rate_sd,handoff_success_mean,handoff_success_sd,state_error_count_mean,state_error_count_sd
langgraph,180,0.6725,0.42473373190360075,0.15166666666666667,0.33530191514764124,0.2638888888888889,0.3696992419315897,0.5833333333333334,0.48004888019273795,0.03333333333333333,0.18000620721761654,19.18888888888889,37.943472935715036
openfang,90,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
