phase,n_pairs,mean_delta,sd_delta,ci95_low,ci95_high,cohen_dz
exp06_a_hybrid_state_causal_handoff,414,-0.20308435525826832,0.37198026553968466,-0.23891674728636525,-0.16725196323017139,-0.5459546488672591
exp06_b_zh_tokenizer_ablation,360,-0.21289173789173796,0.5063696785186833,-0.2652002676158363,-0.1605832081676396,-0.42042749975575994
