provider,model_key,calls,input_tokens_est_char4,output_tokens_est_char4,cost_estimated_usd_char4
azure_openai,azure_gpt_5_4_high,90,40912,23769,0.07946205
azure_openai,azure_gpt_chat_latest,180,95465,57286,0.19075958
