framework,model_key,mode,n,variable_recovery_rate_mean,variable_recovery_rate_sd,subtask_completion_rate_mean,subtask_completion_rate_sd,plan_continuity_rate_mean,plan_continuity_rate_sd,constraint_retention_rate_mean,constraint_retention_rate_sd,handoff_success_mean,handoff_success_sd,state_error_count_mean,state_error_count_sd
langgraph,azure_gpt_5_4_high,compressed,30,0.685,0.45960065124049776,0.125,0.3131458842577788,0.4166666666666667,0.4169539239683968,0.5666666666666667,0.5040069329937309,0.03333333333333333,0.18257418583505536,30.766666666666666,45.443169004762446
langgraph,azure_gpt_5_4_high,hybrid_state,30,0.39166666666666666,0.48991261242806555,0.0,0.0,0.075,0.16281468204573926,0.4,0.4982728791224398,0.0,0.0,31.566666666666666,44.92881982174374
langgraph,azure_gpt_5_4_high,natural,30,0.30833333333333335,0.38080752069266166,0.08333333333333333,0.2570835545556901,0.1,0.2593094277313203,0.25,0.41000420519290054,0.03333333333333333,0.18257418583505536,50.3,49.540056937586485
langgraph,azure_gpt_chat_latest,compressed,30,0.8833333333333333,0.20482681218167154,0.275,0.40123731046644306,0.35,0.4234505222898966,0.65,0.457692864944047,0.03333333333333333,0.18257418583505536,1.0,1.174440439029407
langgraph,azure_gpt_chat_latest,hybrid_state,30,0.8583333333333333,0.28378091760265045,0.09166666666666666,0.2822579320938298,0.25,0.3535533905932738,0.8333333333333334,0.3555795011093798,0.03333333333333333,0.18257418583505536,0.8666666666666667,1.4558640835892125
langgraph,azure_gpt_chat_latest,natural,30,0.9083333333333333,0.1912226240642644,0.335,0.45336861762618275,0.39166666666666666,0.3976403099434891,0.8,0.3850660489694794,0.06666666666666667,0.2537081317024624,0.6333333333333333,0.9643054793328016
openfang,azure_gpt_chat_latest,compressed,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,hybrid_state,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,natural,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
