phase,language,n_pairs,mean_delta,sd_delta,ci95_low,ci95_high,cohen_dz
exp06_a_hybrid_state_causal_handoff,EN,141,-0.1971267503182397,0.36448072442354623,-0.25728858620218087,-0.13696491443429853,-0.5408427307918973
exp06_a_hybrid_state_causal_handoff,ES,141,-0.2104018912529551,0.3724355693478466,-0.2718767679721143,-0.14892701453379592,-0.5649350077420892
exp06_a_hybrid_state_causal_handoff,ZH,132,-0.20163170163170158,0.38200027938747033,-0.2667994605776902,-0.1364639426857129,-0.5278312936184599
exp06_b_zh_tokenizer_ablation,EN_LITERAL,90,-0.23732193732193738,0.5754927833315852,-0.35621997818002016,-0.11842389646385462,-0.4123803880703021
exp06_b_zh_tokenizer_ablation,ES_LITERAL,90,-0.27207977207977213,0.46510505232299637,-0.3681714714304793,-0.17598807272906497,-0.584985630065407
exp06_b_zh_tokenizer_ablation,ZH,90,-0.2535612535612536,0.41918835705005353,-0.3401664653855222,-0.16695604173698497,-0.6048862028173576
exp06_b_zh_tokenizer_ablation,ZH_PINYIN,90,-0.08860398860398866,0.5381549814148491,-0.19978795966584043,0.022579982457863107,-0.1646439997099762
