generator_model_key,n_pairs,mean_delta,sd_delta,ci95_low,ci95_high,cohen_dz
azure_gpt_5_5_instant,90,-0.08290598290598293,0.18277233939259457,-0.1206671394421667,-0.045144826369799156,-0.45360246075255983
gemini_3_1_pro_preview,228,-0.13191632928475033,0.5273215874205572,-0.2003648707862586,-0.06346778778324208,-0.25016296019670153
grok_4_20_non_reasoning,228,-0.35110211426000904,0.3771845477917689,-0.4000622417972532,-0.3021419867227649,-0.9308496764131516
qwen3_next_80b_instruct,228,-0.18915879442195235,0.4369942593067589,-0.24588247197969282,-0.1324351168642119,-0.4328633394910748
