generator_model_key,mode,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
azure_gpt_5_5_instant,compressed,93,4.871519161841743,0.19025266246402256,4.863799283154122,4.960573476702509,4.835125448028674,4.802867383512545,4.867383512544803,4.910394265232975,4.838709677419355,4.92831541218638,4.78494623655914,4.942652329749104,4.949820788530466,1.136200716845878,1.2186379928315412
azure_gpt_5_5_instant,hybrid_state,102,4.7885872297637,0.21265195105135515,4.787581699346405,4.65359477124183,4.751633986928105,4.611111111111111,4.872549019607843,4.905228758169934,4.800653594771242,4.859477124183007,4.823529411764706,4.908496732026144,4.908496732026144,1.3202614379084967,1.3104575163398693
gemini_3_1_pro_preview,compressed,228,1.9063202878992351,0.45994531314961273,1.6900584795321636,2.459795321637427,1.3640350877192982,1.152046783625731,1.418859649122807,1.4152046783625731,1.3026315789473684,1.3187134502923978,4.248538011695906,1.4546783625730995,3.891812865497076,4.121345029239766,4.812865497076023
gemini_3_1_pro_preview,hybrid_state,228,1.7744039586144849,0.3928252113009132,1.5833333333333333,2.1637426900584793,1.2485380116959066,1.0862573099415205,1.5190058479532162,1.394736842105263,1.2748538011695907,1.2470760233918128,3.982456140350877,1.4078947368421053,3.3903508771929824,4.345029239766082,4.885964912280702
grok_4_20_non_reasoning,compressed,228,4.74179037336932,0.23508322098892082,4.730994152046784,4.716374269005848,4.7178362573099415,4.631578947368421,4.780701754385965,4.817251461988303,4.638888888888889,4.739766081871346,4.91812865497076,4.850877192982456,4.885964912280702,1.3640350877192982,1.4210526315789473
grok_4_20_non_reasoning,hybrid_state,228,4.390688259109312,0.38621681937154406,4.407894736842105,3.8596491228070176,4.304093567251462,4.285087719298246,4.714912280701754,4.619883040935672,4.426900584795322,4.375730994152047,4.887426900584795,4.602339181286549,4.454678362573099,2.0833333333333335,1.7763157894736843
qwen3_next_80b_instruct,compressed,228,4.501461988304094,0.46887333632454226,4.476608187134503,4.546783625730995,4.457602339181287,4.318713450292398,4.5204678362573105,4.583333333333333,4.314327485380117,4.472222222222222,4.915204678362573,4.5964912280701755,4.751461988304094,1.6535087719298245,1.780701754385965
qwen3_next_80b_instruct,hybrid_state,228,4.3123031938821414,0.41128453008610355,4.349415204678363,3.7383040935672516,4.292397660818713,4.276315789473684,4.7046783625731,4.542397660818714,4.260233918128655,4.261695906432748,4.9605263157894735,4.507309941520468,4.239766081871345,2.211988304093567,1.861111111111111
