language,n,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,utility_mean,utility_sd,utility_ci95_low,utility_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,handoff_quality_mean,handoff_quality_sd,handoff_quality_ci95_low,handoff_quality_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,token_efficiency_mean,token_efficiency_sd,token_efficiency_ci95_low,token_efficiency_ci95_high
EN,1114,4.1607,1.3466,4.0816,4.2398,4.0601,1.4088,3.9774,4.1429,4.1149,1.3877,4.0334,4.1964,4.1176,1.3878,4.0361,4.1991,4.0655,1.406,3.983,4.1481,4.7127,0.7572,4.6683,4.7572,1.7935,1.2498,1.7201,1.8669,2.0413,1.4519,1.956,2.1266,4.157,1.1977,4.0867,4.2273,12.2808,7.8654,11.8189,12.7427
ES,1108,4.1625,1.3254,4.0844,4.2405,4.019,1.4182,3.9354,4.1025,4.1074,1.3813,4.0261,4.1887,4.0948,1.3855,4.0132,4.1763,4.028,1.4104,3.9449,4.111,4.7229,0.7532,4.6786,4.7673,1.8484,1.2803,1.773,1.9238,2.083,1.4817,1.9958,2.1703,4.1236,1.2261,4.0515,4.1958,11.1198,6.9922,10.7081,11.5315
ZH,1419,4.3643,1.2177,4.301,4.4277,4.2664,1.3019,4.1986,4.3341,4.3481,1.2602,4.2826,4.4137,4.3439,1.2636,4.2782,4.4097,4.2791,1.2981,4.2115,4.3466,4.7921,0.6727,4.7571,4.8271,1.5828,1.145,1.5232,1.6424,1.8048,1.3569,1.7342,1.8754,4.3636,1.1182,4.3054,4.4218,12.2976,8.1037,11.876,12.7193
