generator_model_key,n,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,utility_mean,utility_sd,utility_ci95_low,utility_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,handoff_quality_mean,handoff_quality_sd,handoff_quality_ci95_low,handoff_quality_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,token_efficiency_mean,token_efficiency_sd,token_efficiency_ci95_low,token_efficiency_ci95_high
gemini_3_1_pro_preview,360,3.5806,1.6952,3.4054,3.7557,3.4167,1.75,3.2359,3.5974,3.4639,1.7485,3.2833,3.6445,3.45,1.7465,3.2696,3.6304,3.3583,1.7319,3.1794,3.5372,4.2694,1.3066,4.1345,4.4044,2.4444,1.5946,2.2797,2.6092,2.7194,1.7398,2.5397,2.8992,3.5318,1.5525,3.3714,3.6921,3.5412,1.4051,3.396,3.6864
glm_5,360,4.4528,0.9975,4.3497,4.5558,4.3306,1.0682,4.2202,4.4409,4.3944,1.0687,4.2841,4.5048,4.4,1.0508,4.2915,4.5085,4.3056,1.0847,4.1935,4.4176,4.875,0.5469,4.8185,4.9315,1.575,0.9202,1.4799,1.6701,1.8111,1.1862,1.6886,1.9336,4.394,0.8859,4.3025,4.4855,19.3415,5.1976,18.8046,19.8784
grok_4_20_non_reasoning,360,4.5278,0.967,4.4279,4.6277,4.4111,1.0597,4.3016,4.5206,4.5472,0.9068,4.4535,4.6409,4.5167,0.9759,4.4159,4.6175,4.4389,1.027,4.3328,4.545,4.8444,0.4817,4.7947,4.8942,1.5583,1.0025,1.4548,1.6619,1.65,1.0892,1.5375,1.7625,4.466,0.9011,4.3729,4.5591,7.814,1.7697,7.6312,7.9969
llama_4_maverick,360,3.8889,1.2684,3.7579,4.0199,3.7306,1.3711,3.5889,3.8722,3.8528,1.3592,3.7124,3.9932,3.8611,1.3174,3.725,3.9972,3.7417,1.3934,3.5977,3.8856,4.7472,0.5733,4.688,4.8064,2.1,1.2382,1.9721,2.2279,2.4194,1.4547,2.2692,2.5697,3.8742,1.1587,3.7545,3.9939,16.9296,5.8308,16.3273,17.5319
qwen3_next_80b_instruct,360,4.2722,1.1037,4.1582,4.3862,4.1528,1.1879,4.0301,4.2755,4.2833,1.0805,4.1717,4.3949,4.2889,1.112,4.174,4.4038,4.1556,1.1603,4.0357,4.2754,4.8861,0.4426,4.8404,4.9318,1.6722,0.9665,1.5724,1.7721,1.9889,1.2622,1.8585,2.1193,4.248,0.9614,4.1487,4.3473,18.63,5.827,18.0281,19.232
