model_key,mode,n,variable_recovery_rate_mean,variable_recovery_rate_sd,subtask_completion_rate_mean,subtask_completion_rate_sd,plan_continuity_rate_mean,plan_continuity_rate_sd,constraint_retention_rate_mean,constraint_retention_rate_sd,handoff_success_mean,handoff_success_sd,state_error_count_mean,state_error_count_sd
azure_gpt_5_4_high,compressed,30,0.685,0.45960065124049776,0.125,0.3131458842577788,0.4166666666666667,0.4169539239683968,0.5666666666666667,0.5040069329937309,0.03333333333333333,0.18257418583505536,30.766666666666666,45.443169004762446
azure_gpt_5_4_high,hybrid_state,30,0.39166666666666666,0.48991261242806555,0.0,0.0,0.075,0.16281468204573926,0.4,0.4982728791224398,0.0,0.0,31.566666666666666,44.92881982174374
azure_gpt_5_4_high,natural,30,0.30833333333333335,0.38080752069266166,0.08333333333333333,0.2570835545556901,0.1,0.2593094277313203,0.25,0.41000420519290054,0.03333333333333333,0.18257418583505536,50.3,49.540056937586485
azure_gpt_chat_latest,compressed,60,0.9416666666666667,0.15518350719053492,0.6375,0.46126438244078044,0.675,0.44221131538849967,0.825,0.36621055349556136,0.5166666666666667,0.5039392842990978,0.5,0.9655068046526178
azure_gpt_chat_latest,hybrid_state,60,0.9291666666666667,0.21139000558985005,0.5458333333333333,0.49892186021347074,0.625,0.45216053846214055,0.9166666666666666,0.2630761098009901,0.5166666666666667,0.5039392842990978,0.43333333333333335,1.110301022958153
azure_gpt_chat_latest,natural,60,0.9541666666666667,0.14180783926439383,0.6675,0.4620170405544712,0.6958333333333333,0.4144929173472973,0.9,0.2881854393574164,0.5333333333333333,0.5030977485864634,0.31666666666666665,0.7476894729916952
