mode,n,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,utility_mean,utility_sd,utility_ci95_low,utility_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,handoff_quality_mean,handoff_quality_sd,handoff_quality_ci95_low,handoff_quality_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,token_efficiency_mean,token_efficiency_sd,token_efficiency_ci95_low,token_efficiency_ci95_high
compressed,902,4.347,1.1799,4.27,4.424,4.2783,1.2255,4.1983,4.3582,4.2627,1.2495,4.1812,4.3443,4.3359,1.1925,4.2581,4.4137,4.2894,1.2129,4.2102,4.3685,4.8271,0.6188,4.7867,4.8674,1.5854,1.079,1.515,1.6558,1.8714,1.323,1.7851,1.9577,4.3471,1.0626,4.2778,4.4165,12.9852,7.9002,12.4697,13.5008
hybrid_min,918,4.0261,1.393,3.936,4.1163,3.8508,1.4917,3.7543,3.9473,3.9924,1.4368,3.8994,4.0853,3.9194,1.4724,3.8241,4.0146,3.8486,1.5024,3.7514,3.9458,4.8301,0.6699,4.7867,4.8734,2.0784,1.3996,1.9879,2.169,2.22,1.5203,2.1217,2.3184,3.9611,1.3051,3.8767,4.0456,11.1402,6.8335,10.6981,11.5822
hybrid_state,905,4.2862,1.2642,4.2038,4.3686,4.2199,1.3116,4.1344,4.3053,4.4088,1.1791,4.332,4.4857,4.3624,1.2225,4.2828,4.4421,4.2718,1.26,4.1897,4.3539,4.7923,0.6371,4.7508,4.8338,1.7459,1.2209,1.6663,1.8254,1.8862,1.3726,1.7968,1.9756,4.2799,1.144,4.2053,4.3544,9.7548,5.6973,9.3836,10.126
natural,916,4.3057,1.3076,4.221,4.3904,4.167,1.4163,4.0753,4.2588,4.1539,1.4468,4.0602,4.2476,4.1823,1.4214,4.0903,4.2744,4.1441,1.4391,4.0509,4.2373,4.5393,0.8966,4.4812,4.5974,1.5,1.0919,1.4293,1.5707,1.8668,1.465,1.7719,1.9617,4.3244,1.1575,4.2494,4.3993,13.8476,9.3229,13.2438,14.4513
