round,total,success,success_rate,ok,ok_repaired,error,validator_failed
1,200,127,0.635,127,0,73,0
10,200,114,0.57,91,23,83,3
2,200,123,0.615,96,27,74,3
3,200,119,0.595,94,25,78,3
4,200,114,0.57,92,22,83,3
5,200,119,0.595,93,26,78,3
6,200,118,0.59,83,35,79,3
7,200,128,0.64,90,38,69,3
8,200,120,0.6,93,27,76,4
9,200,122,0.61,96,26,74,4
